country_year;index_for_pop_infl;CO2;Country of birth/nationality;VAR;;Variable;GEN;Gender;COU;Country;YEA;Year;foreign_popul_stock;Flag Codes;Flags;year_min_1;country_year_min_1;foreign_popul_stock_min_1;foreign_popul_diff;foreign_popul_pct_change;For_pop_inflow;year_min2;country_year_min_2;foreign_popul_stock_min_2
Austria1962;Austria1962Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1962;1962;102000;;;1961;Austria1961;#N/A;#N/A;#N/A;#N/A;1960;Austria1960;#N/A
Austria1963;Austria1963Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1963;1963;102800;;;1962;Austria1962;102000;800;0.007843137;#N/A;1961;Austria1961;#N/A
Austria1964;Austria1964Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1964;1964;107200;;;1963;Austria1963;102800;4400;0.042801556;#N/A;1962;Austria1962;102000
Austria1965;Austria1965Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1965;1965;112800;;;1964;Austria1964;107200;5600;0.052238806;#N/A;1963;Austria1963;102800
Austria1966;Austria1966Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1966;1966;122000;;;1965;Austria1965;112800;9200;0.081560284;#N/A;1964;Austria1964;107200
Austria1967;Austria1967Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1967;1967;138100;;;1966;Austria1966;122000;16100;0.131967213;#N/A;1965;Austria1965;112800
Austria1968;Austria1968Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1968;1968;154900;;;1967;Austria1967;138100;16800;0.121650978;#N/A;1966;Austria1966;122000
Austria1969;Austria1969Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1969;1969;158300;;;1968;Austria1968;154900;3400;0.021949645;#N/A;1967;Austria1967;138100
Austria1970;Austria1970Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1970;1970;161800;;;1969;Austria1969;158300;3500;0.022109918;#N/A;1968;Austria1968;154900
Austria1971;Austria1971Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1971;1971;183000;;;1970;Austria1970;161800;21200;0.131025958;#N/A;1969;Austria1969;158300
Austria1972;Austria1972Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1972;1972;219700;;;1971;Austria1971;183000;36700;0.200546448;#N/A;1970;Austria1970;161800
Austria1973;Austria1973Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1973;1973;263000;;;1972;Austria1972;219700;43300;0.197086937;#N/A;1971;Austria1971;183000
Austria1974;Austria1974Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1974;1974;303000;;;1973;Austria1973;263000;40000;0.152091255;#N/A;1972;Austria1972;219700
Austria1975;Austria1975Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1975;1975;311700;;;1974;Austria1974;303000;8700;0.028712871;#N/A;1973;Austria1973;263000
Austria1976;Austria1976Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1976;1976;285800;;;1975;Austria1975;311700;-25900;-0.083092717;#N/A;1974;Austria1974;303000
Austria1977;Austria1977Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1977;1977;273100;;;1976;Austria1976;285800;-12700;-0.044436669;#N/A;1975;Austria1975;311700
Austria1978;Austria1978Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1978;1978;280500;;;1977;Austria1977;273100;7400;0.027096302;#N/A;1976;Austria1976;285800
Austria1979;Austria1979Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1979;1979;280700;;;1978;Austria1978;280500;200;0.000713012;#N/A;1977;Austria1977;273100
Austria1980;Austria1980Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1980;1980;276500;;;1979;Austria1979;280700;-4200;-0.014962594;#N/A;1978;Austria1978;280500
Austria1981;Austria1981Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1981;1981;282700;;;1980;Austria1980;276500;6200;0.022423146;#N/A;1979;Austria1979;280700
Austria1982;Austria1982Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1982;1982;303700;;;1981;Austria1981;282700;21000;0.074283693;#N/A;1980;Austria1980;276500
Austria1983;Austria1983Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1983;1983;308400;;;1982;Austria1982;303700;4700;0.015475798;#N/A;1981;Austria1981;282700
Austria1984;Austria1984Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1984;1984;296000;;;1983;Austria1983;308400;-12400;-0.040207523;#N/A;1982;Austria1982;303700
Austria1985;Austria1985Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1985;1985;295700;;;1984;Austria1984;296000;-300;-0.001013514;#N/A;1983;Austria1983;308400
Austria1986;Austria1986Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1986;1986;300500;;;1985;Austria1985;295700;4800;0.016232668;#N/A;1984;Austria1984;296000
Austria1987;Austria1987Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1987;1987;308800;;;1986;Austria1986;300500;8300;0.027620632;#N/A;1985;Austria1985;295700
Austria1988;Austria1988Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1988;1988;317900;;;1987;Austria1987;308800;9100;0.029468912;#N/A;1986;Austria1986;300500
Austria1989;Austria1989Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1989;1989;333300;;;1988;Austria1988;317900;15400;0.048442907;#N/A;1987;Austria1987;308800
Austria1990;Austria1990Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1990;1990;372000;;;1989;Austria1989;333300;38700;0.116111611;#N/A;1988;Austria1988;317900
Austria1991;Austria1991Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1991;1991;433700;;;1990;Austria1990;372000;61700;0.165860215;#N/A;1989;Austria1989;333300
Austria1992;Austria1992Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1992;1992;507900;;;1991;Austria1991;433700;74200;0.171086004;#N/A;1990;Austria1990;372000
Austria1993;Austria1993Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1993;1993;587433;;;1992;Austria1992;507900;79533;0.156591849;#N/A;1991;Austria1991;433700
Austria1994;Austria1994Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1994;1994;645832;;;1993;Austria1993;587433;58399;0.099413891;#N/A;1992;Austria1992;507900
Austria1995;Austria1995Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1995;1995;669453;;;1994;Austria1994;645832;23621;0.036574527;#N/A;1993;Austria1993;587433
Austria1996;Austria1996Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1996;1996;677061;;;1995;Austria1995;669453;7608;0.011364502;57100;1994;Austria1994;645832
Austria1997;Austria1997Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1997;1997;681709;;;1996;Austria1996;677061;4648;0.006864965;56895;1995;Austria1995;669453
Austria1998;Austria1998Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1998;1998;683394;;;1997;Austria1997;681709;1685;0.002471729;28648;1996;Austria1996;677061
Austria1999;Austria1999Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;1999;1999;686481;;;1998;Austria1998;683394;3087;0.00451716;35813;1997;Austria1997;681709
Austria2000;Austria2000Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2000;2000;693955;;;1999;Austria1999;686481;7474;0.01088741;31884;1998;Austria1998;683394
Austria2001;Austria2001Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2001;2001;701768;;;2000;Austria2000;693955;7813;0.011258655;34831;1999;Austria1999;686481
Austria2002;Austria2002Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2002;2002;730261;;;2001;Austria2001;701768;28493;0.040601737;39860;2000;Austria2000;693955
Austria2003;Austria2003Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2003;2003;746753;;;2002;Austria2002;730261;16492;0.022583706;44464;2001;Austria2001;701768
Austria2004;Austria2004Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2004;2004;754216;;;2003;Austria2003;746753;7463;0.009993934;48874;2002;Austria2002;730261
Austria2005;Austria2005Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2005;2005;774401;;;2004;Austria2004;754216;20185;0.02676289;45842;2003;Austria2003;746753
Austria2006;Austria2006Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2006;2006;796666;;;2005;Austria2005;774401;22265;0.028751254;39050;2004;Austria2004;754216
Austria2007;Austria2007Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2007;2007;804779;;;2006;Austria2006;796666;8113;0.010183691;43569;2005;Austria2005;774401
Austria2008;Austria2008Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2008;2008;829679;;;2007;Austria2007;804779;24900;0.030940171;45361;2006;Austria2006;796666
Austria2009;Austria2009Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2009;2009;860004;;;2008;Austria2008;829679;30325;0.03655028;43004;2007;Austria2007;804779
Austria2010;Austria2010Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2010;2010;883579;;;2009;Austria2009;860004;23575;0.027412663;45540;2008;Austria2008;829679
Austria2011;Austria2011Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2011;2011;913203;;;2010;Austria2010;883579;29624;0.033527279;50203;2009;Austria2009;860004
Austria2012;Austria2012Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2012;2012;951429;;;2011;Austria2011;913203;38226;0.041859258;56972;2010;Austria2010;883579
Austria2013;Austria2013Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2013;2013;1004268;;;2012;Austria2012;951429;52839;0.055536461;61994;2011;Austria2011;913203
Austria2014;Austria2014Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2014;2014;1066114;;;2013;Austria2013;1004268;61846;0.061583163;68308;2012;Austria2012;951429
Austria2015;Austria2015Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2015;2015;1146078;;;2014;Austria2014;1066114;79964;0.075005112;81910;2013;Austria2013;1004268
Austria2016;Austria2016Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2016;2016;1267674;;;2015;Austria2015;1146078;121596;0.106097491;70579;2014;Austria2014;1066114
Austria2017;Austria2017Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2017;2017;1341930;;;2016;Austria2016;1267674;74256;0.058576574;64435;2015;Austria2015;1146078
Austria2018;Austria2018Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;AUT;Austria;2018;2018;1395880;;;2017;Austria2017;1341930;53950;0.040203289;#N/A;2016;Austria2016;1267674
Denmark1985;Denmark1985Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1985;1985;107700;;;1984;Denmark1984;#N/A;#N/A;#N/A;15552;1983;Denmark1983;#N/A
Denmark1986;Denmark1986Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1986;1986;117000;;;1985;Denmark1985;107700;9300;0.086350975;17612;1984;Denmark1984;#N/A
Denmark1987;Denmark1987Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1987;1987;128300;;;1986;Denmark1986;117000;11300;0.096581197;15232;1985;Denmark1985;107700
Denmark1988;Denmark1988Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1988;1988;136200;;;1987;Denmark1987;128300;7900;0.061574435;13777;1986;Denmark1986;117000
Denmark1989;Denmark1989Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1989;1989;142000;;;1988;Denmark1988;136200;5800;0.042584435;15051;1987;Denmark1987;128300
Denmark1990;Denmark1990Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1990;1990;150600;;;1989;Denmark1989;142000;8600;0.06056338;15051;1988;Denmark1988;136200
Denmark1991;Denmark1991Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1991;1991;160600;;;1990;Denmark1990;150600;10000;0.066401062;17491;1989;Denmark1989;142000
Denmark1992;Denmark1992Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1992;1992;169500;;;1991;Denmark1991;160600;8900;0.055417186;16898;1990;Denmark1990;150600
Denmark1993;Denmark1993Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1993;1993;180103;;;1992;Denmark1992;169500;10603;0.062554572;15446;1991;Denmark1991;160600
Denmark1994;Denmark1994Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1994;1994;189014;;;1993;Denmark1993;180103;8911;0.049477244;15552;1992;Denmark1992;169500
Denmark1995;Denmark1995Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1995;1995;196705;;;1994;Denmark1994;189014;7691;0.040690108;32970;1993;Denmark1993;180103
Denmark1996;Denmark1996Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1996;1996;222746;;;1995;Denmark1995;196705;26041;0.13238606;24747;1994;Denmark1994;189014
Denmark1997;Denmark1997Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1997;1997;237695;;;1996;Denmark1996;222746;14949;0.067112316;20425;1995;Denmark1995;196705
Denmark1998;Denmark1998Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1998;1998;249628;;;1997;Denmark1997;237695;11933;0.050202991;21176;1996;Denmark1996;222746
Denmark1999;Denmark1999Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;1999;1999;256276;;;1998;Denmark1998;249628;6648;0.026631628;20265;1997;Denmark1997;237695
Denmark2000;Denmark2000Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2000;2000;259357;;;1999;Denmark1999;256276;3081;0.012022195;22766;1998;Denmark1998;249628
Denmark2001;Denmark2001Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2001;2001;258629;;;2000;Denmark2000;259357;-728;-0.002806942;24642;1999;Denmark1999;256276
Denmark2002;Denmark2002Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2002;2002;266729;;;2001;Denmark2001;258629;8100;0.031318994;21485;2000;Denmark2000;259357
Denmark2003;Denmark2003Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2003;2003;265424;;;2002;Denmark2002;266729;-1305;-0.004892606;18385;2001;Denmark2001;258629
Denmark2004;Denmark2004Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2004;2004;271211;;;2003;Denmark2003;265424;5787;0.021802851;18706;2002;Denmark2002;266729
Denmark2005;Denmark2005Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2005;2005;267604;;;2004;Denmark2004;271211;-3607;-0.013299608;20146;2003;Denmark2003;265424
Denmark2006;Denmark2006Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2006;2006;270051;;;2005;Denmark2005;267604;2447;0.009144108;23979;2004;Denmark2004;271211
Denmark2007;Denmark2007Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2007;2007;278096;;;2006;Denmark2006;270051;8045;0.029790669;14884;2005;Denmark2005;267604
Denmark2008;Denmark2008Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2008;2008;298490;;;2007;Denmark2007;278096;20394;0.073334388;17633;2006;Denmark2006;270051
Denmark2009;Denmark2009Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2009;2009;320188;;;2008;Denmark2008;298490;21698;0.072692553;16314;2007;Denmark2007;278096
Denmark2010;Denmark2010Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2010;2010;329940;;;2009;Denmark2009;320188;9752;0.030457106;16860;2008;Denmark2008;298490
Denmark2011;Denmark2011Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2011;2011;346046;;;2010;Denmark2010;329940;16106;0.048814936;16875;2009;Denmark2009;320188
Denmark2012;Denmark2012Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2012;2012;358858;;;2011;Denmark2011;346046;12812;0.037023979;17372;2010;Denmark2010;329940
Denmark2013;Denmark2013Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2013;2013;374705;;;2012;Denmark2012;358858;15847;0.044159528;19812;2011;Denmark2011;346046
Denmark2014;Denmark2014Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2014;2014;397300;;;2013;Denmark2013;374705;22595;0.06030077;22297;2012;Denmark2012;358858
Denmark2015;Denmark2015Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2015;2015;422559;;;2014;Denmark2014;397300;25259;0.063576642;26360;2013;Denmark2013;374705
Denmark2016;Denmark2016Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2016;2016;463147;;;2015;Denmark2015;422559;40588;0.096052859;25670;2014;Denmark2014;397300
Denmark2017;Denmark2017Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2017;2017;484986;;;2016;Denmark2016;463147;21839;0.047153496;23504;2015;Denmark2015;422559
Denmark2018;Denmark2018Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;DNK;Denmark;2018;2018;505992;;;2017;Denmark2017;484986;21006;0.04331259;#N/A;2016;Denmark2016;463147
United Kingdom1985;United Kingdom1985Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1985;1985;1601000;;;1984;United Kingdom1984;#N/A;#N/A;#N/A;123000;1983;United Kingdom1983;#N/A
United Kingdom1986;United Kingdom1986Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1986;1986;1731000;;;1985;United Kingdom1985;1601000;130000;0.08119925;130000;1984;United Kingdom1984;#N/A
United Kingdom1987;United Kingdom1987Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1987;1987;1820000;;;1986;United Kingdom1986;1731000;89000;0.051415367;113000;1985;United Kingdom1985;1601000
United Kingdom1988;United Kingdom1988Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1988;1988;1839000;;;1987;United Kingdom1987;1820000;19000;0.01043956;127000;1986;United Kingdom1986;1731000
United Kingdom1989;United Kingdom1989Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1989;1989;1821000;;;1988;United Kingdom1988;1839000;-18000;-0.009787928;145000;1987;United Kingdom1987;1820000
United Kingdom1990;United Kingdom1990Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1990;1990;1812000;;;1989;United Kingdom1989;1821000;-9000;-0.004942339;161000;1988;United Kingdom1988;1839000
United Kingdom1991;United Kingdom1991Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1991;1991;1723000;;;1990;United Kingdom1990;1812000;-89000;-0.049116998;145000;1989;United Kingdom1989;1821000
United Kingdom1992;United Kingdom1992Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1992;1992;1750000;;;1991;United Kingdom1991;1723000;27000;0.015670342;113000;1990;United Kingdom1990;1812000
United Kingdom1993;United Kingdom1993Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1993;1993;1985000;;;1992;United Kingdom1992;1750000;235000;0.134285714;118000;1991;United Kingdom1991;1723000
United Kingdom1994;United Kingdom1994Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1994;1994;2001000;;;1993;United Kingdom1993;1985000;16000;0.008060453;132000;1992;United Kingdom1992;1750000
United Kingdom1995;United Kingdom1995Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1995;1995;2032000;;;1994;United Kingdom1994;2001000;31000;0.015492254;150000;1993;United Kingdom1993;1985000
United Kingdom1996;United Kingdom1996Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1996;1996;1948000;;;1995;United Kingdom1995;2032000;-84000;-0.041338583;164000;1994;United Kingdom1994;2001000
United Kingdom1997;United Kingdom1997Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1997;1997;1934000;;;1996;United Kingdom1996;1948000;-14000;-0.007186858;182000;1995;United Kingdom1995;2032000
United Kingdom1998;United Kingdom1998Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1998;1998;2066000;;;1997;United Kingdom1997;1934000;132000;0.068252327;214000;1996;United Kingdom1996;1948000
United Kingdom1999;United Kingdom1999Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;1999;1999;2207000;;;1998;United Kingdom1998;2066000;141000;0.068247822;121000;1997;United Kingdom1997;1934000
United Kingdom2000;United Kingdom2000Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2000;2000;2208000;;;1999;United Kingdom1999;2207000;1000;0.000453104;124000;1998;United Kingdom1998;2066000
United Kingdom2001;United Kingdom2001Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2001;2001;2342000;;;2000;United Kingdom2000;2208000;134000;0.060688406;132000;1999;United Kingdom1999;2207000
United Kingdom2002;United Kingdom2002Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2002;2002;2587000;;;2001;United Kingdom2001;2342000;245000;0.104611443;143000;2000;United Kingdom2000;2208000
United Kingdom2003;United Kingdom2003Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2003;2003;2584000;;;2002;United Kingdom2002;2587000;-3000;-0.001159644;160000;2001;United Kingdom2001;2342000
United Kingdom2004;United Kingdom2004Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2004;2004;2742000;;;2003;United Kingdom2003;2584000;158000;0.061145511;223000;2002;United Kingdom2002;2587000
United Kingdom2005;United Kingdom2005Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2005;2005;2857000;;;2004;United Kingdom2004;2742000;115000;0.04194019;182000;2003;United Kingdom2003;2584000
United Kingdom2006;United Kingdom2006Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2006;2006;3392000;;;2005;United Kingdom2005;2857000;535000;0.187259363;210000;2004;United Kingdom2004;2742000
United Kingdom2007;United Kingdom2007Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2007;2007;3824000;;;2006;United Kingdom2006;3392000;432000;0.127358491;205000;2005;United Kingdom2005;2857000
United Kingdom2008;United Kingdom2008Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2008;2008;4186000;;;2007;United Kingdom2007;3824000;362000;0.094665272;219000;2006;United Kingdom2006;3392000
United Kingdom2009;United Kingdom2009Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2009;2009;4348000;;;2008;United Kingdom2008;4186000;162000;0.03870043;198000;2007;United Kingdom2007;3824000
United Kingdom2010;United Kingdom2010Inflows of foreign population by nationality;TOT;Total;B15;;Stock of foreign population by nationality;TOT;Total;GBR;United Kingdom;2010;2010;4524000;;;2009;United Kingdom2009;4348000;176000;0.040478381;201000;2008;United Kingdom2008;4186000
